"uid","domainID","siteID","plotID","trapCoordinate","date","eventID","trapStatus","duplicateTrapCoordinateQF"
"D79F7D7BCDAF48EB905BF16B3E794156","D01","HARV","HARV_023","F3","2014-04-28","MAM.HARV.2014.05",6,0
"7C12AF021EA74328BBEC0E811B3F3678","D01","HARV","HARV_023","F2","2014-04-28","MAM.HARV.2014.05",6,0
"9B3B80C56DFB4A0DBFEFE2E3F9B107D1","D01","HARV","HARV_023","D7","2014-04-28","MAM.HARV.2014.05",6,0
"7AE4964673724854B8E116FE6AB25B4B","D01","HARV","HARV_023","F7","2014-04-28","MAM.HARV.2014.05",6,0
"89E7E3214DC2442E82C88C843F337901","D01","HARV","HARV_023","D8","2014-04-28","MAM.HARV.2014.05",6,0
"F9A3289F0356461E90B04EF6A5B56F3A","D01","HARV","HARV_023","F5","2014-04-28","MAM.HARV.2014.05",6,0
"6B5866138AF14CC3AC042576F1858457","D01","HARV","HARV_023","D9","2014-04-28","MAM.HARV.2014.05",6,0
"2841E149D451400DAAEA44870AE75F6F","D01","HARV","HARV_023","F6","2014-04-28","MAM.HARV.2014.05",6,0
"BB7C3640B3574D258D586959EA24A450","D01","HARV","HARV_023","F4","2014-04-28","MAM.HARV.2014.05",6,0
"32E508BC4B684F0C8610A5E7A9566836","D01","HARV","HARV_023","F8","2014-04-28","MAM.HARV.2014.05",6,0
"BB02CC05DECC4FD0AE9AB6D72EF4CF55","D01","HARV","HARV_023","C8","2014-04-28","MAM.HARV.2014.05",6,0
"5B0F5A15D35943F0AE6285E6F76AADB6","D01","HARV","HARV_023","C6","2014-04-28","MAM.HARV.2014.05",6,0
"E5916EF9714D4FBF95EF048D5EF17E47","D01","HARV","HARV_023","C9","2014-04-28","MAM.HARV.2014.05",6,0
"0B2A9316E3DF42B98F4DA3960640F3BD","D01","HARV","HARV_023","I6","2014-04-28","MAM.HARV.2014.05",6,0
"15E911CE801E4AAD86EDE5F0B0805BC2","D01","HARV","HARV_023","I4","2014-04-28","MAM.HARV.2014.05",6,0
"4CE8A3B33D914F2382C04C1C146608BB","D01","HARV","HARV_023","I8","2014-04-28","MAM.HARV.2014.05",6,0
"EED1E55D01F94B13A6766781A18A83D8","D01","HARV","HARV_023","G6","2014-04-28","MAM.HARV.2014.05",6,0
"748709BC43C44597A4812CD4826E30ED","D01","HARV","HARV_023","G2","2014-04-28","MAM.HARV.2014.05",6,0
"8D8083656AA24542ADB89850609B41C2","D01","HARV","HARV_023","G3","2014-04-28","MAM.HARV.2014.05",6,0
"63F891CE7AEC47408373F28C29F075BE","D01","HARV","HARV_023","G5","2014-04-28","MAM.HARV.2014.05",6,0
"35E203C08BD9461FA5B6D553FF0F8A11","D01","HARV","HARV_023","G1","2014-04-28","MAM.HARV.2014.05",6,0
"9042288A213340C1B5D2BA149352EC09","D01","HARV","HARV_023","E8","2014-04-28","MAM.HARV.2014.05",6,0
"187A1B5EFAE34CDE9A0D0C1E1FBE8424","D01","HARV","HARV_023","G7","2014-04-28","MAM.HARV.2014.05",6,0
"67C57A98852F445FB2D8DB84489E3BB2","D01","HARV","HARV_023","E9","2014-04-28","MAM.HARV.2014.05",6,0
"DA910C431F0A4F539FDBAC2135CA57D1","D01","HARV","HARV_023","H7","2014-04-28","MAM.HARV.2014.05",6,0
"A1AFA8A37D414C60B15B8600C428037C","D01","HARV","HARV_023","I3","2014-04-28","MAM.HARV.2014.05",6,0
"941C8C68B0514169AABBDA0BD06FD48F","D01","HARV","HARV_023","I5","2014-04-28","MAM.HARV.2014.05",6,0
"B31791FA22B8440CB1E92F53C07F39FF","D01","HARV","HARV_023","I7","2014-04-28","MAM.HARV.2014.05",6,0
"6E69BA3D69A04029A0F2EF58A5D3BC9A","D01","HARV","HARV_023","F9","2014-04-28","MAM.HARV.2014.05",6,0
"8DCA9B74A87C4D90B849524397A04FE4","D01","HARV","HARV_023","H6","2014-04-28","MAM.HARV.2014.05",6,0
"C02354C9A96345F8AA768F2F7D237E38","D01","HARV","HARV_023","H5","2014-04-28","MAM.HARV.2014.05",6,0
"1721E27DE88A478BA0F2D139DD8B6219","D01","HARV","HARV_023","H2","2014-04-28","MAM.HARV.2014.05",6,0
"75E97892FB784F66804640135C7D248A","D01","HARV","HARV_023","H3","2014-04-28","MAM.HARV.2014.05",6,0
"F6DA9D1EE84E4D828399846D823A6541","D01","HARV","HARV_023","H1","2014-04-28","MAM.HARV.2014.05",6,0
"5FA5412230DD4F92B67B9AEEAE6DE786","D01","HARV","HARV_023","H4","2014-04-28","MAM.HARV.2014.05",6,0
"FA58A816FB864B17A80083BB12ABECF6","D01","HARV","HARV_023","H9","2014-04-28","MAM.HARV.2014.05",6,0
"C2E2377C59394DD68DE45D28D207E0E0","D01","HARV","HARV_023","H8","2014-04-28","MAM.HARV.2014.05",6,0
"61BA335EBEAD46FEBF677916C5942E4D","D01","HARV","HARV_023","I2","2014-04-28","MAM.HARV.2014.05",6,0
"13B25834725246DF98C0D6EAABA1F2FC","D01","HARV","HARV_023","J1","2014-04-28","MAM.HARV.2014.05",6,0
"CB1DA3376FF94B2E83BE0B0F30B031D8","D01","HARV","HARV_023","J3","2014-04-28","MAM.HARV.2014.05",6,0
"07055126CFBF4C608FD606463B0CE095","D01","HARV","HARV_023","J9","2014-04-28","MAM.HARV.2014.05",6,0
"BE4D2DA9B81F4939BFA8A595D3AD606C","D01","HARV","HARV_023","J8","2014-04-28","MAM.HARV.2014.05",6,0
"712FDE4FBF944F4BB1208133A0EC2197","D01","HARV","HARV_023","J5","2014-04-28","MAM.HARV.2014.05",6,0
"3EF7B775B78046E5A5C9447387B8959D","D01","HARV","HARV_023","J6","2014-04-28","MAM.HARV.2014.05",6,0
"79C7CA62767644B1B5C8CAB9287B83B9","D01","HARV","HARV_023","J7","2014-04-28","MAM.HARV.2014.05",6,0
"CFB000988B294D738FBC370326E1CF5D","D01","HARV","HARV_023","I9","2014-04-28","MAM.HARV.2014.05",6,0
"6ACA505E00F14B0D9FF3655D31CC68B8","D01","HARV","HARV_023","I1","2014-04-28","MAM.HARV.2014.05",6,0
"9993A2AEF8F042E9897B7D3AB69A7F68","D01","HARV","HARV_023","J4","2014-04-28","MAM.HARV.2014.05",6,0
"A7FF8B6890C446D8AD138DC8B4D05462","D01","HARV","HARV_023","J2","2014-04-28","MAM.HARV.2014.05",6,0
"33EA9EEA83BB4CF7AB5EBE2FC442CB49","D01","HARV","HARV_006","G9","2014-04-28","MAM.HARV.2014.05",6,0
"5BA7A254291741BDA50A072E6F51FFEC","D01","HARV","HARV_006","A10","2014-04-28","MAM.HARV.2014.05",6,0
"C5D0D3D66DA948FD8C961D9D56E0D6D5","D01","HARV","HARV_006","H6","2014-04-28","MAM.HARV.2014.05",6,0
"1B1AF2B92B8746D298421DDCCA199730","D01","HARV","HARV_006","H8","2014-04-28","MAM.HARV.2014.05",6,0
"6C17E4E02E9B43D1A350D0840FCF912A","D01","HARV","HARV_006","H7","2014-04-28","MAM.HARV.2014.05",6,0
"21E6B0C26D3D4A5D900A855CCF02372E","D01","HARV","HARV_006","I2","2014-04-28","MAM.HARV.2014.05",6,0
"60BF6F533EFE4510BAD46879FA815D57","D01","HARV","HARV_006","H9","2014-04-28","MAM.HARV.2014.05",6,0
"EBA8C2A87071425DAF0BE7FD3A995DCA","D01","HARV","HARV_006","I10","2014-04-28","MAM.HARV.2014.05",6,0
"7EE64D08301A47449F36170F7C61C2A1","D01","HARV","HARV_006","I6","2014-04-28","MAM.HARV.2014.05",6,0
"8FE611A1C0FF4B68B2F73D2AE30E3477","D01","HARV","HARV_006","I3","2014-04-28","MAM.HARV.2014.05",6,0
"B14F1078FFD747E9A6740D1089B577BE","D01","HARV","HARV_006","I1","2014-04-28","MAM.HARV.2014.05",6,0
"5CF29244D1624BB590DB5CDF5EF7297C","D01","HARV","HARV_006","J8","2014-04-28","MAM.HARV.2014.05",6,0
"9023F422B9034E4EB560280CD1EE35AD","D01","HARV","HARV_006","I9","2014-04-28","MAM.HARV.2014.05",6,0
"0C8B5E8551524ED0B76F84584043B07C","D01","HARV","HARV_006","G6","2014-04-28","MAM.HARV.2014.05",6,0
"34F86C4E171C4CCCBCCA652C125B57A3","D01","HARV","HARV_006","H1","2014-04-28","MAM.HARV.2014.05",6,0
"D787753456C942FDB164491C77554766","D01","HARV","HARV_006","H5","2014-04-28","MAM.HARV.2014.05",6,0
"B0F5FBF4A0CD495BA6693E237CC129F7","D01","HARV","HARV_006","H2","2014-04-28","MAM.HARV.2014.05",6,0
"3AB10DE06B8F471C82FE9317DEF57DFB","D01","HARV","HARV_006","H3","2014-04-28","MAM.HARV.2014.05",6,0
"6130E6F6C03746739F91291F99254791","D01","HARV","HARV_006","J9","2014-04-28","MAM.HARV.2014.05",6,0
"6492B5EDA14949DEAA221DF10BF87546","D01","HARV","HARV_006","H4","2014-04-28","MAM.HARV.2014.05",6,0
"EAE2CA0E5E0E4EF08D6840735C47A8E3","D01","HARV","HARV_006","I5","2014-04-28","MAM.HARV.2014.05",6,0
"4D54F6354AF74FD8BA44B80A564CFE6D","D01","HARV","HARV_006","I4","2014-04-28","MAM.HARV.2014.05",6,0
"48D7B622ADB147A9B8D3E12115F1D90C","D01","HARV","HARV_006","G8","2014-04-28","MAM.HARV.2014.05",6,0
"81F56C02EC874897BA093718165834B6","D01","HARV","HARV_006","G7","2014-04-28","MAM.HARV.2014.05",6,0
"9EB5387226FE4B0CBE7C6C60D5C14583","D01","HARV","HARV_006","G5","2014-04-28","MAM.HARV.2014.05",6,0
"31AC1F35CDB444A2943B6C4165BB3D94","D01","HARV","HARV_006","J10","2014-04-28","MAM.HARV.2014.05",6,0
"29076E919123402C85715DCDC5983B94","D01","HARV","HARV_006","J7","2014-04-28","MAM.HARV.2014.05",6,0
