"uid","domainID","siteID","plotID","date","night","eventID","setTraps","disturbedTraps","samplingEffort","samplingProtocol","identificationReferences","remarks","duplicateNightQF","missingRecordsPerBoutQF"
"9D31F0FD4B664AAAB856DEB65B809E9D","D03","DSNY","DSNY_016","2014-09-16",1,"MAM.DSNY.2014.10",100,1,99,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"A263166677BC4F92A2827B5A2228652C","D03","DSNY","DSNY_004","2014-09-17",2,"MAM.DSNY.2014.10",100,0,100,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"C69CD9D438D944C999D20734B6CCE5D7","D03","DSNY","DSNY_005","2014-09-17",2,"MAM.DSNY.2014.10",100,2,98,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"C7445AC1808A44CC8D8C50C6A526FD57","D03","DSNY","DSNY_001","2014-09-17",2,"MAM.DSNY.2014.10",100,2,98,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"B498FB3BDFC14730B7F990610DD77716","D03","DSNY","DSNY_009","2014-09-17",2,"MAM.DSNY.2014.10",100,0,100,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"BEC30711E477426CAF807DF896FFAA6F","D03","DSNY","DSNY_016","2014-09-17",2,"MAM.DSNY.2014.10",100,2,98,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"E7FA3A0E23FB4139B14E9A66573153C1","D03","DSNY","DSNY_004","2014-09-18",3,"MAM.DSNY.2014.10",100,1,99,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"75D2FE60A197406E8BDF30900B6DD139","D03","DSNY","DSNY_001","2014-09-18",3,"MAM.DSNY.2014.10",100,0,100,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"70CBC1E2072143FA9DC431B064675BE1","D03","DSNY","DSNY_005","2014-09-18",3,"MAM.DSNY.2014.10",100,2,98,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"24961873128A4A498039826FB66E0838","D03","DSNY","DSNY_009","2014-09-18",3,"MAM.DSNY.2014.10",100,0,100,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
"211878B70BA74DCFBD3486AE83A28291","D03","DSNY","DSNY_016","2014-09-18",3,"MAM.DSNY.2014.10",100,4,96,"NEON.DOC.000481","Reid, F. 2006. ",,0,0
