"uid","domainID","siteID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","startCollectDate","endCollectDate","archiveID","sampleTiming","scientificName","sex","archivedCount","archiveMedium","archiveVialIDList","archiveFacilityID","deprecatedVialID","samplingProtocolVersion","duplicatesInArchivePoolingQF"
"5D73BA15F0BE4B76A07AA3C426C4686B","D10","CPER",40.845700,-104.764050,"WGS84",0.1,1662.5,0.1,"2014-07-15","2014-07-16","CPER.2014.28.AEDVEX.M.A","field season","Aedes vexans","M",1,"Frozen -80C","CPER.2014.28.AEDVEX.M.A.01",,"CPER.2014.5.Aedes vexans.Male","NEON.DOC.014049vE",0
"321C0A22258846DF84DECFB6A26F7C55","D10","CPER",40.832478,-104.737870,"WGS84",4848.6,1645.0,20.3,"2014-07-15","2014-07-16","CPER.2014.28.AEDDOR.F.A","field season","Aedes dorsalis","F",219,"Frozen -80C","CPER.2014.28.AEDDOR.F.A.01",,"CPER.2014.5.Aedes dorsalis.Female","NEON.DOC.014049vE",0
"355F0EAE9C6D4697B4539F59E2BC097B","D10","CPER",40.824966,-104.761396,"WGS84",1369.1,1653.4,14.1,"2014-07-15","2014-07-16","CPER.2014.28.PSOSIG.F.A","field season","Psorophora signipennis","F",3,"Frozen -80C","CPER.2014.28.PSOSIG.F.A.01",,"CPER.2014.5.Psorophora signipennis.Female","NEON.DOC.014049vE",0
"D69FA3FB535E406C80E7C7F83759D75E","D10","CPER",40.833303,-104.725117,"WGS84",3275.9,1640.4,6.3,"2014-07-29","2014-07-30","CPER.2014.30.AEDSPP.F.A","field season","Aedes sp.","F",6,"Frozen -80C","CPER.2014.30.AEDSPP.F.A.01",,"CPER.2014.6.Aedes spp.Female","NEON.DOC.014049vE",0
"DF90E587B8444268BCACB022A4C90E7B","D10","CPER",40.828391,-104.761597,"WGS84",313.5,1653.5,7.0,"2014-07-29","2014-07-30","CPER.2014.30.PSOSIG.F.A","field season","Psorophora signipennis","F",4,"Frozen -80C","CPER.2014.30.PSOSIG.F.A.01",,"CPER.2014.6.Psorophora signipennis.Female","NEON.DOC.014049vE",0
"52AEF03FD9604207894964585A37B04E","D10","CPER",40.835026,-104.733816,"WGS84",4411.4,1646.0,21.3,"2014-07-29","2014-07-30","CPER.2014.30.AEDNIG.F.A","field season","Aedes nigromaculis","F",131,"Frozen -80C","CPER.2014.30.AEDNIG.F.A.01",,"CPER.2014.6.Aedes nigromaculis.Female","NEON.DOC.014049vE",0
"47E690328B5E4DD7B8CD16C5FDDE9F28","D10","CPER",40.828028,-104.763267,"WGS84",1962.9,1649.5,13.1,"2014-07-29","2014-07-30","CPER.2014.30.CULINO.F.A","field season","Culiseta inornata","F",4,"Frozen -80C","CPER.2014.30.CULINO.F.A.01",,"CPER.2014.6.Culiseta inornata.Female","NEON.DOC.014049vE",0
"B2D2FBDED627478ABC0FEF8E12FF8952","D10","CPER",40.835928,-104.739415,"WGS84",4405.4,1649.3,24.6,"2014-07-29","2014-07-30","CPER.2014.30.AEDDOR.F.A","field season","Aedes dorsalis","F",4,"Frozen -80C","CPER.2014.30.AEDDOR.F.A.01",,"CPER.2014.6.Aedes dorsalis.Female","NEON.DOC.014049vE",0
"C1F51360D1434B648B95F8D3CD09EECB","D10","CPER",40.843326,-104.737545,"WGS84",2367.0,1660.8,0.5,"2014-08-12","2014-08-13","CPER.2014.32.CULINO.F.A","field season","Culiseta inornata","F",2,"Frozen -80C","CPER.2014.32.CULINO.F.A.01",,"CPER.2014.7.Culiseta inornata.Female","NEON.DOC.014049vE",0
"6EC74EE95DBA4154BAF9EB12184C2AC3","D10","CPER",40.811915,-104.772255,"WGS84",0.1,1639.9,0.1,"2014-08-12","2014-08-13","CPER.2014.32.AEDTRI.F.A","field season","Aedes trivittatus","F",1,"Frozen -80C","CPER.2014.32.AEDTRI.F.A.01",,"CPER.2014.7.Aedes trivittatus.Female","NEON.DOC.014049vE",0
"8D25F4338F674D6BA86E855CA627471C","D10","CPER",40.817104,-104.764751,"WGS84",1593.5,1644.8,15.7,"2014-08-12","2014-08-13","CPER.2014.32.CULSPP3.F.A","field season","Culex sp.","F",6,"Frozen -80C","CPER.2014.32.CULSPP3.F.A.01",,"CPER.2014.7.Culex spp.Female","NEON.DOC.014049vE",0
"9FDAC319FFAF40A4A29EF44469A587D5","D10","CPER",40.834431,-104.690811,"WGS84",0.1,1624.8,0.1,"2014-08-12","2014-08-13","CPER.2014.32.AEDSPP.F.A","field season","Aedes sp.","F",1,"Frozen -80C","CPER.2014.32.AEDSPP.F.A.01",,"CPER.2014.7.Aedes spp.Female","NEON.DOC.014049vE",0
"CBCD6F89C6EA4232837B752FA045A0F0","D10","CPER",40.830688,-104.742374,"WGS84",4367.4,1642.4,20.2,"2014-08-12","2014-08-13","CPER.2014.32.AEDVEX.F.A","field season","Aedes vexans","F",8,"Frozen -80C","CPER.2014.32.AEDVEX.F.A.01",,"CPER.2014.7.Aedes vexans.Female","NEON.DOC.014049vE",0
"FB8CE9F065EF40F9BD40A1C281E5BF05","D10","CPER",40.834913,-104.736280,"WGS84",4599.4,1646.6,21.9,"2014-08-12","2014-08-13","CPER.2014.32.AEDDOR.F.A","field season","Aedes dorsalis","F",98,"Frozen -80C","CPER.2014.32.AEDDOR.F.A.01",,"CPER.2014.7.Aedes dorsalis.Female","NEON.DOC.014049vE",0
"94E6CBEB172744A3B7B8260A8E1441B0","D10","CPER",40.835518,-104.733821,"WGS84",4385.2,1645.9,21.2,"2014-08-12","2014-08-13","CPER.2014.32.AEDNIG.F.A","field season","Aedes nigromaculis","F",3000,"Frozen -80C","CPER.2014.32.AEDNIG.F.A.01",,"CPER.2014.7.Aedes nigromaculis.Female","NEON.DOC.014049vE",0
"273D225843D4410F8BC6809989E449C4","D10","CPER",40.847775,-104.725614,"WGS84",0.1,1650.8,0.1,"2014-08-12","2014-08-13","CPER.2014.32.AEDNIG.M.A","field season","Aedes nigromaculis","M",1,"Frozen -80C","CPER.2014.32.AEDNIG.M.A.01",,"CPER.2014.7.Aedes nigromaculis.Male","NEON.DOC.014049vE",0
