"uid","domainID","siteID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","startCollectDate","endCollectDate","archiveID","sampleTiming","scientificName","sex","archivedCount","archiveMedium","archiveVialIDList","archiveFacilityID","deprecatedVialID","samplingProtocolVersion","duplicatesInArchivePoolingQF"
"959369E9AC734B979163A85AEF20BC62","D08","TALL",32.887446,-87.434633,"WGS84",1589.4,88.0,4.1,"2014-05-20","2014-05-21","TALL.2014.20.CULERR.F.A","field season","Culex erraticus","F",9,"Frozen -80C","TALL.2014.20.CULERR.F.A.01",,"TALL.2014.2.Culex erraticus.Female","NEON.DOC.014049vE",0
"4F997E099691460396894B1A7B120EC1","D08","TALL",32.942869,-87.410429,"WGS84",5110.1,96.5,29.2,"2014-05-20","2014-05-21","TALL.2014.20.AEDSTI.F.A","field season","Aedes sticticus","F",9,"Frozen -80C","TALL.2014.20.AEDSTI.F.A.01",,"TALL.2014.2.Aedes sticticus.Female","NEON.DOC.014049vE",0
"7A6931FEF5BD4476B52BC22F91477762","D08","TALL",32.948964,-87.414558,"WGS84",5558.4,82.0,10.1,"2014-05-20","2014-05-21","TALL.2014.20.PSOFER.F.A","field season","Psorophora ferox","F",4,"Frozen -80C","TALL.2014.20.PSOFER.F.A.01",,"TALL.2014.2.Psorophora ferox.Female","NEON.DOC.014049vE",0
"D63A604898944E6C99E0C777AF92A4DB","D08","TALL",32.922886,-87.430175,"WGS84",5961.4,93.4,16.4,"2014-05-20","2014-05-21","TALL.2014.20.AEDTRI1.F.A","field season","Aedes triseriatus","F",4,"Frozen -80C","TALL.2014.20.AEDTRI1.F.A.01",,"TALL.2014.2.Aedes triseriatus.Female","NEON.DOC.014049vE",0
"5DC46BD1DF9040C299F2E52959C27443","D08","TALL",32.918956,-87.417654,"WGS84",6110.1,102.7,43.3,"2014-05-20","2014-05-21","TALL.2014.20.AEDSPP.F.A","field season","Aedes sp.","F",34,"Frozen -80C","TALL.2014.20.AEDSPP.F.A.01",,"TALL.2014.2.Aedes spp.Female","NEON.DOC.014049vE",0
"00B651277DBD47DEA57C36A12B98CF76","D08","TALL",32.918330,-87.420549,"WGS84",6220.5,128.3,51.3,"2014-05-20","2014-05-21","TALL.2014.20.AEDVEX.F.A","field season","Aedes vexans","F",8,"Frozen -80C","TALL.2014.20.AEDVEX.F.A.01",,"TALL.2014.2.Aedes vexans.Female","NEON.DOC.014049vE",0
"321C4247A00F425CB6AD4401121F7440","D08","TALL",32.912858,-87.421638,"WGS84",6835.6,95.2,30.6,"2014-05-20","2014-05-21","TALL.2014.20.ANOPUN.F.A","field season","Anopheles punctipennis","F",8,"Frozen -80C","TALL.2014.20.ANOPUN.F.A.01",,"TALL.2014.2.Anopheles punctipennis.Female","NEON.DOC.014049vE",0
"1F35DD9D8AEB47608C51980E0A9EA007","D08","TALL",32.906269,-87.421683,"WGS84",7556.7,104.0,31.9,"2014-05-20","2014-05-21","TALL.2014.20.ANOCRU.F.A","field season","Anopheles crucians","F",34,"Frozen -80C","TALL.2014.20.ANOCRU.F.A.01",,"TALL.2014.2.Anopheles crucians.Female","NEON.DOC.014049vE",0
"AF179420477F44DD9F1D496E098A082B","D08","TALL",32.925669,-87.422396,"WGS84",5458.8,104.1,75.4,"2014-06-03","2014-06-04","TALL.2014.22.AEDSPP.F.A","field season","Aedes sp.","F",72,"Frozen -80C","TALL.2014.22.AEDSPP.F.A.01",,"TALL.2014.3.Aedes spp.Female","NEON.DOC.014049vE",0
"40C516E9F99D4A30B4B877FC7C9BB50C","D08","TALL",32.907154,-87.422394,"WGS84",4611.1,126.3,53.1,"2014-06-03","2014-06-04","TALL.2014.22.COQPER.F.A","field season","Coquillettidia perturbans","F",7,"Frozen -80C","TALL.2014.22.COQPER.F.A.01",,"TALL.2014.3.Coquillettidia perturbans.Female","NEON.DOC.014049vE",0
"87A5F3A16B6941D5925BCA7AB214F972","D08","TALL",32.905825,-87.427067,"WGS84",2264.1,114.1,31.9,"2014-06-03","2014-06-04","TALL.2014.22.PSOFER.F.A","field season","Psorophora ferox","F",4,"Frozen -80C","TALL.2014.22.PSOFER.F.A.01",,"TALL.2014.3.Psorophora ferox.Female","NEON.DOC.014049vE",0
"60AC49914C5C46568D40D7409D2E521B","D08","TALL",32.973570,-87.408875,"WGS84",0.1,77.1,0.1,"2014-06-03","2014-06-04","TALL.2014.22.PSOSPP.F.A","field season","Psorophora sp.","F",2,"Frozen -80C","TALL.2014.22.PSOSPP.F.A.01",,"TALL.2014.3.Psorophora spp.Female","NEON.DOC.014049vE",0
"F652F1A579D341CC988EA064BAF6B417","D08","TALL",32.896718,-87.435952,"WGS84",1733.6,93.4,9.2,"2014-06-03","2014-06-04","TALL.2014.22.AEDATL.F.A","field season","Aedes atlanticus","F",4,"Frozen -80C","TALL.2014.22.AEDATL.F.A.01",,"TALL.2014.3.Aedes atlanticus.Female","NEON.DOC.014049vE",0
"DCFD3F8476F0416B97BE642F47BAD601","D08","TALL",32.973570,-87.408875,"WGS84",0.1,77.1,0.1,"2014-06-03","2014-06-04","TALL.2014.22.CULSPP.F.A","field season","Culicidae sp.","F",10,"Frozen -80C","TALL.2014.22.CULSPP.F.A.01",,"TALL.2014.3.Culicidae.Female","NEON.DOC.014049vE",0
"9F307D2176DB41FCBA6A48BF03FB92CB","D08","TALL",32.896718,-87.435952,"WGS84",1733.6,93.4,9.2,"2014-06-03","2014-06-04","TALL.2014.22.CULERR.F.A","field season","Culex erraticus","F",5,"Frozen -80C","TALL.2014.22.CULERR.F.A.01",,"TALL.2014.3.Culex erraticus.Female","NEON.DOC.014049vE",0
"D85ABAD847124C8EBF43C7D4BD8E34C6","D08","TALL",32.910806,-87.409609,"WGS84",1578.7,138.3,12.8,"2014-06-03","2014-06-04","TALL.2014.22.AEDVEX.F.A","field season","Aedes vexans","F",7,"Frozen -80C","TALL.2014.22.AEDVEX.F.A.01",,"TALL.2014.3.Aedes vexans.Female","NEON.DOC.014049vE",0
"9D39C4D66B2F4B8D99F27F7BCACDCA7C","D08","TALL",32.914334,-87.413474,"WGS84",0.1,135.8,0.1,"2014-06-03","2014-06-04","TALL.2014.22.ANOQUA.F.A","field season","Anopheles quadrimaculatus","F",1,"Frozen -80C","TALL.2014.22.ANOQUA.F.A.01",,"TALL.2014.3.Anopheles quadrimaculatus.Female","NEON.DOC.014049vE",0
"E389218A67F947A89E4D836AE3A07597","D08","TALL",32.905179,-87.419310,"WGS84",1724.9,109.8,36.2,"2014-06-03","2014-06-04","TALL.2014.22.CULSPP3.F.A","field season","Culex sp.","F",3,"Frozen -80C","TALL.2014.22.CULSPP3.F.A.01",,"TALL.2014.3.Culex spp.Female","NEON.DOC.014049vE",0
"CB04B63489684B03BA89A610411A6663","D08","TALL",32.896817,-87.412758,"WGS84",0.1,125.7,0.1,"2014-06-03","2014-06-04","TALL.2014.22.ANOCRU.F.A","field season","Anopheles crucians","F",3,"Frozen -80C","TALL.2014.22.ANOCRU.F.A.01",,"TALL.2014.3.Anopheles crucians.Female","NEON.DOC.014049vE",0
"0E725C8446434D63B67C64185AFF0540","D08","TALL",32.973570,-87.408875,"WGS84",0.1,77.1,0.1,"2014-06-03","2014-06-04","TALL.2014.22.AEDSTI.F.A","field season","Aedes sticticus","F",1,"Frozen -80C","TALL.2014.22.AEDSTI.F.A.01",,"TALL.2014.3.Aedes sticticus.Female","NEON.DOC.014049vE",0
"EFA5EC6163294EBFB5CA5CB99810FCB5","D08","TALL",32.914334,-87.413474,"WGS84",0.1,135.8,0.1,"2014-06-03","2014-06-04","TALL.2014.22.CULMEL.F.A","field season","Culiseta melanura","F",1,"Frozen -80C","TALL.2014.22.CULMEL.F.A.01",,"TALL.2014.3.Culiseta melanura.Female","NEON.DOC.014049vE",0
"DD0803266C5D404D89C12DF960B7FF32","D08","TALL",32.913656,-87.426395,"WGS84",6841.2,110.6,39.4,"2014-06-03","2014-06-04","TALL.2014.22.AEDCAN2.F.A","field season","Aedes canadensis","F",552,"Frozen -80C","TALL.2014.22.AEDCAN2.F.A.01",,"TALL.2014.3.Aedes canadensis.Female","NEON.DOC.014049vE",0
