"uid","domainID","siteID","plotID","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","setDateTime","collectDateTime","localSetDateTime","localCollectDateTime","sampleTiming","eventID","nightOrDay","trapHours","sampleID","targetTaxaPresent","samplingProtocolVersion","trapRecordedBy","trappingRemarks","trapCompromisedQF","sampleCompromisedAtTrapping","sampleLostQF","duplicatesInTrappingQF"
"04AE47ECA0A24F32961F79582E1F9A56","D10","CPER","CPER_080","grasslandHerbaceous",40.831098,-104.760543,"WGS84",0.1,1660.4,0.1,"2014-05-21T01:08Z","2014-05-21T13:09Z","20140520.1908","20140521.0709","field season","CPER.2014.20","night",12.0,,"N","NEON.DOC.014049vE","XXW8BqPXtz9SVhPzC4oUWA==",,0,"No known compromise",-1,0
"02EE258222F64F248A3878B0E413FD91","D10","CPER","CPER_087","grasslandHerbaceous",40.825683,-104.762650,"WGS84",0.1,1646.6,0.1,"2014-05-21T00:36Z","2014-05-21T13:22Z","20140520.1836","20140521.0722","field season","CPER.2014.20","night",13.0,,"N","NEON.DOC.014049vE","XXW8BqPXtz9SVhPzC4oUWA==",,0,"No known compromise",-1,0
"13400CE1B199462B9CFC6C3DEA45FB45","D10","CPER","CPER_089","grasslandHerbaceous",40.812702,-104.763102,"WGS84",0.1,1639.5,0.1,"2014-05-21T01:25Z","2014-05-21T13:38Z","20140520.1925","20140521.0738","field season","CPER.2014.20","night",12.0,,"N","NEON.DOC.014049vE","XXW8BqPXtz9SVhPzC4oUWA==",,0,"No known compromise",-1,0
"DF6BB97E4C3F4A919B84438C14476CF0","D10","CPER","CPER_088","grasslandHerbaceous",40.811915,-104.772255,"WGS84",0.1,1639.9,0.1,"2014-05-21T01:36Z","2014-05-21T13:43Z","20140520.1936","20140521.0743","field season","CPER.2014.20","night",12.0,"CPER_088.20140521.0743","Y","NEON.DOC.014049vE","XXW8BqPXtz9SVhPzC4oUWA==",,0,"No known compromise",1,0
"E5FF44536A4A48C38E96F157EA430F30","D10","CPER","CPER_088","grasslandHerbaceous",40.811915,-104.772255,"WGS84",0.1,1639.9,0.1,"2014-06-04T02:40Z","2014-06-04T12:00Z","20140603.2040","20140604.0600","field season","CPER.2014.22","night",9.5,"CPER_088.20140604.0600","Y","NEON.DOC.014049vE","5cJrGWs5ZbE+2stOtk3fwA==",,0,"No known compromise",0,0
"69B208BA75AE4849B4998F573741F185","D10","CPER","CPER_078","grasslandHerbaceous",40.834431,-104.690811,"WGS84",0.1,1624.8,0.1,"2014-06-04T00:00Z","2014-06-04T12:27Z","20140603.1800","20140604.0627","field season","CPER.2014.22","night",12.5,"CPER_078.20140604.0627","Y","NEON.DOC.014049vE","5cJrGWs5ZbE+2stOtk3fwA==",,0,"No known compromise",0,0
"7CE570BEEB134C4F9BCA5F7F08E5EBC7","D10","CPER","CPER_083","grasslandHerbaceous",40.840911,-104.687576,"WGS84",0.1,1634.2,0.1,"2014-06-04T00:20Z","2014-06-04T12:41Z","20140603.1820","20140604.0641","field season","CPER.2014.22","night",12.5,"CPER_083.20140604.0641","Y","NEON.DOC.014049vE","5cJrGWs5ZbE+2stOtk3fwA==",,0,"No known compromise",0,0
"9CAEA872F4124AEEA84B49F6FE061E20","D10","CPER","CPER_082","grasslandHerbaceous",40.854510,-104.688209,"WGS84",0.1,1640.8,0.1,"2014-06-04T00:48Z","2014-06-04T12:54Z","20140603.1848","20140604.0654","field season","CPER.2014.22","night",12.0,"CPER_082.20140604.0654","Y","NEON.DOC.014049vE","5cJrGWs5ZbE+2stOtk3fwA==",,0,"No known compromise",0,0
"1AB4AA049DDA403E9CB587D7649E8E17","D10","CPER","CPER_090","grasslandHerbaceous",40.855550,-104.714539,"WGS84",0.1,1661.1,0.1,"2014-06-04T01:00Z","2014-06-04T13:14Z","20140603.1900","20140604.0714","field season","CPER.2014.22","night",12.0,"CPER_090.20140604.0714","Y","NEON.DOC.014049vE","5cJrGWs5ZbE+2stOtk3fwA==",,0,"No known compromise",0,0
"E79F4F09423E4D32A89C941FC95DB3D2","D10","CPER","CPER_086","grasslandHerbaceous",40.847775,-104.725614,"WGS84",0.1,1650.8,0.1,"2014-06-04T01:18Z","2014-06-04T13:31Z","20140603.1918","20140604.0731","field season","CPER.2014.22","night",12.0,"CPER_086.20140604.0731","Y","NEON.DOC.014049vE","5cJrGWs5ZbE+2stOtk3fwA==",,0,"No known compromise",0,0
"15F2B16BAAF7480F8EE6860294F5B668","D10","CPER","CPER_084","grasslandHerbaceous",40.845700,-104.764050,"WGS84",0.1,1662.5,0.1,"2014-06-04T01:40Z","2014-06-04T13:50Z","20140603.1940","20140604.0750","field season","CPER.2014.22","night",12.0,"CPER_084.20140604.0750","Y","NEON.DOC.014049vE","5cJrGWs5ZbE+2stOtk3fwA==",,0,"No known compromise",0,0
"0FBAD6730A964257B521AB5CC1B8465D","D10","CPER","CPER_080","grasslandHerbaceous",40.831098,-104.760543,"WGS84",0.1,1660.4,0.1,"2014-06-04T02:00Z","2014-06-04T14:03Z","20140603.2000","20140604.0803","field season","CPER.2014.22","night",12.0,"CPER_080.20140604.0803","Y","NEON.DOC.014049vE","5cJrGWs5ZbE+2stOtk3fwA==",,0,"No known compromise",0,0
"A236EE98A6F84B6D9A5DDB55B5C80387","D10","CPER","CPER_087","grasslandHerbaceous",40.825683,-104.762650,"WGS84",0.1,1646.6,0.1,"2014-06-04T02:20Z","2014-06-04T14:16Z","20140603.2020","20140604.0816","field season","CPER.2014.22","night",12.0,"CPER_087.20140604.0816","Y","NEON.DOC.014049vE","5cJrGWs5ZbE+2stOtk3fwA==",,0,"No known compromise",0,0
